datetime,consumption_kWh
01-08-2021,"23,023.25"
02-08-2021,"21,756.68"
03-08-2021,"21,156.63"
04-08-2021,"22,597.24"
05-08-2021,"21,829.77"
06-08-2021,"24,118.98"
07-08-2021,"24,569.34"
08-08-2021,"27,168.77"
09-08-2021,"23,103.76"
10-08-2021,"22,199.37"
11-08-2021,"19,603.47"
12-08-2021,"23,270.30"
13-08-2021,"23,184.96"
14-08-2021,"25,154.18"
15-08-2021,"23,894.65"
16-08-2021,"21,736.49"
17-08-2021,"21,723.04"
18-08-2021,"21,315.26"
19-08-2021,"20,269.25"
20-08-2021,"22,548.26"
21-08-2021,"23,234.30"
22-08-2021,"24,018.11"
23-08-2021,"22,099.83"
24-08-2021,"20,822.28"
25-08-2021,"22,705.96"
26-08-2021,"22,506.84"
27-08-2021,"22,421.79"
28-08-2021,"24,981.89"
29-08-2021,"23,661.41"
30-08-2021,"19,117.78"
31-08-2021,"20,062.35"
01-09-2021,"20,770.21"
02-09-2021,"21,847.97"
03-09-2021,"21,174.89"
04-09-2021,"22,859.59"
05-09-2021,"23,009.92"
06-09-2021,"19,726.12"
07-09-2021,"20,234.32"
08-09-2021,"19,671.24"
09-09-2021,"18,753.61"
10-09-2021,"21,186.08"
11-09-2021,"23,817.22"
12-09-2021,"21,771.39"
13-09-2021,"18,666.84"
14-09-2021,"18,846.81"
15-09-2021,"18,506.80"
16-09-2021,"20,513.11"
17-09-2021,"20,638.85"
18-09-2021,"22,595.17"
19-09-2021,"23,328.58"
20-09-2021,"20,236.67"
21-09-2021,"19,911.29"
22-09-2021,"19,578.34"
23-09-2021,"18,796.74"
24-09-2021,"19,835.35"
25-09-2021,"23,042.72"
26-09-2021,"23,038.82"
27-09-2021,"19,448.98"
28-09-2021,"19,203.43"
29-09-2021,"18,696.44"
30-09-2021,"18,239.60"
01-10-2021,"19,245.85"
02-10-2021,"21,206.25"
03-10-2021,"20,521.46"
04-10-2021,"20,793.64"
05-10-2021,"20,090.86"
06-10-2021,"19,040.15"
07-10-2021,"18,646.07"
08-10-2021,"19,966.44"
09-10-2021,"25,198.01"
10-10-2021,"20,759.96"
11-10-2021,"20,370.77"
12-10-2021,"18,866.40"
13-10-2021,"18,071.07"
14-10-2021,"18,150.13"
15-10-2021,"19,784.26"
16-10-2021,"19,437.39"
17-10-2021,"22,982.70"
18-10-2021,"18,264.10"
19-10-2021,"19,405.81"
20-10-2021,"18,932.66"
21-10-2021,"18,759.68"
22-10-2021,"21,806.15"
23-10-2021,"22,154.79"
24-10-2021,"21,663.35"
25-10-2021,"18,019.17"
26-10-2021,"18,468.49"
27-10-2021,"18,740.47"
